season,game_id,l2m_events,incorrect_events,mean_sori,max_sori,top_decile_event_sori
2021-22,0022100158,17,2,0.05564688999494164,0.23204156236861315,0.07269279345673595
2021-22,0022100329,34,3,0.05412591170429454,0.23204156236861315,0.06110540672810116
2019-20,0021900170,25,0,0.053677937830673074,0.23204156236861315,0.07410131699642211
2019-20,0021900644,43,3,0.052760638973374414,0.23204156236861315,0.06110540672810116
2024-25,0022400111,17,1,0.0773647553510312,0.18956592065786945,0.15721562844402265
2023-24,0022300339,10,0,0.07141113648919031,0.18956592065786945,0.08668900512457373
2024-25,0022400512,14,1,0.06890190972495809,0.18956592065786945,0.07525823673198535
2023-24,0022301184,11,0,0.0644587148737193,0.18956592065786945,0.07356115317368732
2020-21,0022000686,20,2,0.06414588650822407,0.18956592065786945,0.1617011999680107
2023-24,0022300665,16,2,0.06283644677438073,0.18956592065786945,0.0791875660307889
2019-20,0021900827,15,2,0.06126707402446256,0.18956592065786945,0.06110540672810116
2022-23,0022200520,15,0,0.06087639460808892,0.18956592065786945,0.10316477322590241
2023-24,0022300786,17,1,0.06080187616252896,0.18956592065786945,0.0944873648061659
2024-25,0022401189,19,1,0.060443459529395754,0.18956592065786945,0.06359655601721838
2022-23,0022200311,33,1,0.0602137188419295,0.18956592065786945,0.09158196411597755
2019-20,0021900673,16,0,0.05997630712519809,0.18956592065786945,0.09929130732593812
2020-21,0022000148,15,1,0.05963638400100266,0.18956592065786945,0.06926639528087518
2020-21,0022000344,13,0,0.05955664505423561,0.18956592065786945,0.060278633104209944
2023-24,0022300347,13,1,0.05923817171913433,0.18956592065786945,0.060278633104209944
2023-24,0022300034,11,1,0.059002935471263875,0.18956592065786945,0.07525823673198535
2019-20,0021900412,24,2,0.05889000436497482,0.18956592065786945,0.07045462036653538
2024-25,0022400149,13,2,0.058516167647424955,0.18956592065786945,0.12770396815945242
2023-24,0022300989,24,2,0.05832004840267119,0.18956592065786945,0.07651344874914505
2023-24,0022300617,13,0,0.05804649823774682,0.18956592065786945,0.06477887538485445
2021-22,0022100062,14,2,0.0576616197680287,0.18956592065786945,0.060278633104209944
2019-20,0021900374,20,3,0.05753933029817826,0.18956592065786945,0.07660149344962854
2020-21,0022000111,19,4,0.05593184005270279,0.18956592065786945,0.06110540672810116
2023-24,0022300652,20,1,0.05503490895144499,0.18956592065786945,0.06110540672810116
2022-23,0022200987,30,1,0.054614277505990745,0.18956592065786945,0.06110540672810116
2021-22,0022100472,16,2,0.054148923881532765,0.18956592065786945,0.06110540672810116
2023-24,0022300862,42,0,0.05398816875943352,0.18956592065786945,0.06110540672810116
2024-25,0022401162,25,2,0.05398670842758862,0.18956592065786945,0.06110540672810116
2020-21,0022000495,10,0,0.05375157511599188,0.18956592065786945,0.07320736185957585
2020-21,0022000037,18,2,0.05346932269408986,0.18956592065786945,0.06110540672810116
2023-24,0022301135,21,1,0.05166411688614569,0.18956592065786945,0.06110540672810116
