scenario,scenario_events,scenario_incorrect,scenario_error_rate,holdout_season,train_seasons,train_events,test_events,test_incorrect,baseline_error_rate,roc_auc,avg_precision,top_10_error_rate,top_10_lift,top_10_error_capture
exclude_defense_3_second_and_traveling,49317,2580,0.0523146176774743,2024-25,2018-19 to 2023-24,42791,6526,239,0.036622739809990805,0.6316670582120375,0.12109357445586676,0.09969325153374232,2.722168031419257,0.2719665271966527
exclude_rare_call_types_lt_100,49850,3029,0.06076228686058174,2019-20,2018-19,3068,7392,487,0.06588203463203464,0.6474786148774733,0.14882147557552067,0.16644113667117727,2.5263508876249325,0.25256673511293637
exclude_rare_call_types_lt_100,49850,3029,0.06076228686058174,2020-21,2018-19 to 2019-20,10460,7209,413,0.05728949923706478,0.6432064795271966,0.18231791632092423,0.1736111111111111,3.0304176755447942,0.3026634382566586
exclude_rare_call_types_lt_100,49850,3029,0.06076228686058174,2021-22,2018-19 to 2020-21,17669,8005,591,0.07382885696439725,0.6679886499999771,0.2000761880549134,0.2325,3.1491751269035535,0.3147208121827411
exclude_rare_call_types_lt_100,49850,3029,0.06076228686058174,2022-23,2018-19 to 2021-22,25674,10312,607,0.05886346004654771,0.7170763215007465,0.20352292458546578,0.21823472356935014,3.707473590522469,0.37067545304777594
exclude_rare_call_types_lt_100,49850,3029,0.06076228686058174,2023-24,2018-19 to 2022-23,35986,7442,437,0.05872077398548777,0.7030728296395022,0.20586668358215376,0.21908602150537634,3.730979798725425,0.37299771167048057
exclude_rare_call_types_lt_100,49850,3029,0.06076228686058174,2024-25,2018-19 to 2023-24,43428,6422,284,0.04422298349423855,0.6926474536367766,0.17569081330448882,0.17289719626168223,3.909668290114519,0.3908450704225352
exclude_timing_count_judgment,50050,3000,0.059940059940059943,2019-20,2018-19,3069,7392,488,0.06601731601731602,0.6404068442148054,0.1452111506261779,0.16102841677943167,2.439184542691719,0.24385245901639344
exclude_timing_count_judgment,50050,3000,0.059940059940059943,2020-21,2018-19 to 2019-20,10461,7225,410,0.05674740484429066,0.6441939409122632,0.17355694425072765,0.16897506925207756,2.9776704276738055,0.2975609756097561
exclude_timing_count_judgment,50050,3000,0.059940059940059943,2021-22,2018-19 to 2020-21,17686,8006,591,0.07381963527354485,0.6672679539005515,0.20102056012114045,0.23125,3.132635363790186,0.3130287648054145
exclude_timing_count_judgment,50050,3000,0.059940059940059943,2022-23,2018-19 to 2021-22,25692,10327,600,0.05810012588360608,0.7140021760734725,0.2014758433503971,0.21124031007751937,3.635797803617571,0.36333333333333334
exclude_timing_count_judgment,50050,3000,0.059940059940059943,2023-24,2018-19 to 2022-23,36019,7487,424,0.05663149459062375,0.689682179788908,0.18658027665705845,0.2018716577540107,3.5646535415195237,0.3561320754716981
exclude_timing_count_judgment,50050,3000,0.059940059940059943,2024-25,2018-19 to 2023-24,43506,6544,277,0.04232885085574572,0.6774448590087669,0.1585895872866958,0.14984709480122324,3.5400699941487543,0.35379061371841153
exclude_possession_boundary_adjudication,47137,2570,0.054521925451343954,2019-20,2018-19,2979,7125,427,0.05992982456140351,0.5975597944928158,0.09236550353779975,0.11376404494382023,1.898287635186696,0.18969555035128804
exclude_possession_boundary_adjudication,47137,2570,0.054521925451343954,2020-21,2018-19 to 2019-20,10104,6928,351,0.050663972286374134,0.5929945805268901,0.11861152545695433,0.11271676300578035,2.224791265253693,0.2222222222222222
exclude_possession_boundary_adjudication,47137,2570,0.054521925451343954,2021-22,2018-19 to 2020-21,17032,7460,497,0.06662198391420912,0.6433121203163257,0.16487579994310628,0.1836461126005362,2.756539235412475,0.27565392354124746
exclude_possession_boundary_adjudication,47137,2570,0.054521925451343954,2022-23,2018-19 to 2021-22,24492,9710,511,0.05262615859938208,0.688827425085982,0.17020427374316888,0.17404737384140062,3.3072407045009786,0.33072407045009783
exclude_possession_boundary_adjudication,47137,2570,0.054521925451343954,2023-24,2018-19 to 2022-23,34202,6936,362,0.052191464821222604,0.6817729142259731,0.21178450274083718,0.1774891774891775,3.400731864820263,0.3397790055248619
exclude_possession_boundary_adjudication,47137,2570,0.054521925451343954,2024-25,2018-19 to 2023-24,41138,5999,229,0.03817302883813969,0.6656365177510539,0.20739124372147988,0.1335559265442404,3.498698704536673,0.34934497816593885
