feature,coefficient,odds_ratio
sequence_context_grouped_rebound_foul_foul,0.18489607247013354,1.2030933991050379
sequence_context_grouped_turnover_rebound,0.13647468605677035,1.146225861912119
sequence_context_grouped_foul_rebound_rebound,0.13284404883323894,1.1420718770003975
call_family_Turnover,0.12658944654671414,1.1349509640804412
sequence_context_grouped_foul_foul,0.12506282569186808,1.1332196461387332
clock_bucket_00-30s,0.12190192751940976,1.1296433094260294
monitoring_type_temporal_discrete,0.11832932598187809,1.125614744515384
sequence_context_grouped_foul_turnover_rebound,0.11306870801843878,1.1197088632829149
sequence_context_grouped_foul_rebound,0.10782569048946881,1.1138535731927826
sequence_context_grouped_rebound_turnover,0.10725490092269341,1.1132179786069243
sequence_context_grouped_foul_foul_foul,0.10682366572202001,1.1127380233227708
sequence_context_grouped_turnover_foul,0.10179118303729773,1.1071522554166044
call_type_grouped_Foul: Technical,0.09979799346304642,1.1049476888733836
sequence_context_grouped_turnover_rebound_rebound,0.09612200329978772,1.1008933684246827
call_type_grouped_Turnover: Offensive Goaltending,0.09061771419675074,1.0948503794894586
call_type_grouped_Turnover: Palming,0.09039834118268034,1.0946102252044017
sequence_context_grouped_rebound_foul,0.08759757860213896,1.0915487710497298
decision_kind_non_call,0.08625609524092026,1.0900854582597332
sequence_context_grouped_rebound_violation_turnover,0.08602991893421576,1.089838934636744
sequence_context_grouped_turnover_rebound_turnover,0.06940027188712786,1.0718651607846326
sequence_context_grouped_turnover_turnover_turnover,0.06743745203188226,1.0697633459816105
call_type_grouped_Stoppage: TimeOut,0.06492531983481001,1.0670793317477343
score_state_larger_margin,0.061833730959023586,1.0637854554353547
clock_bucket_31-60s,0.05711141891162487,1.0587737712450924
score_state_two_to_three_possessions,0.057059610174343266,1.0587189189338642
sequence_context_grouped_rebound_violation_rebound,0.05025361945877278,1.0515377529957348
sequence_context_grouped_foul,0.03865763367325399,1.0394145621802513
days_rest_capped,0.033250028066479344,1.03380898819264
back_to_back,0.02497155713251109,1.0252859580370557
sequence_context_grouped_rebound_rebound_turnover,0.01678431365883951,1.0169259616296433
q4_pre_l2m_actions_per_minute,0.01668677110933177,1.0168267729163238
l2m_actions_per_minute,0.006600035714822911,1.0066218639464868
call_type_grouped_Violation: Jump Ball,0.00639123034731336,1.0064116978409114
period_bucket_OT,0.0032228239402420406,1.0032280228208423
sequence_context_grouped_rebound_turnover_turnover,0.0027027529827501695,1.0027064087123625
sequence_context_grouped_other,-0.005300629067712261,0.9947133944777327
estimated_pace,-0.011048408954687332,0.9890124005600269
travel_miles_last_7k,-0.013391287160692916,0.9866979772259509
sequence_context_grouped_turnover_turnover_foul,-0.02522958931159491,0.9750860169999745
sequence_context_grouped_foul_foul_turnover,-0.030191645678909123,0.9702595696755425
sequence_context_grouped_turnover_foul_turnover,-0.03421746681551902,0.9663613302642259
sequence_context_grouped_rebound_turnover_foul,-0.03566445346717819,0.9649640295002331
sequence_context_grouped_rebound_rebound,-0.03573095798463681,0.9648998571669849
sequence_context_grouped_rebound,-0.03770484002224121,0.9629971371610402
score_state_unknown,-0.03791618837717735,0.9627936308064171
games_last_7,-0.05331781270621856,0.9480786531544559
scramble_context_unknown,-0.06448418785643768,0.9375509388348872
sequence_context_grouped_unknown,-0.06448418785643768,0.9375509388348872
score_margin_abs,-0.07556376534837521,0.9272206041040688
sequence_context_grouped_violation_rebound,-0.07619199408476952,0.9266382804109848
sequence_context_grouped_turnover_turnover,-0.07973668745606391,0.9233594465044025
sequence_context_grouped_turnover,-0.08739311121844484,0.91631681040389
sequence_context_grouped_foul_rebound_foul,-0.09878901657095267,0.9059338248864585
sequence_context_grouped_turnover_foul_rebound,-0.10163568831603761,0.9033585958191881
sequence_context_grouped_foul_foul_rebound,-0.10357408021017568,0.9016092288666631
possession_context_unknown,-0.10759952078412649,0.8979871496183837
possession_context_trailing_team_possession,-0.10978144391002789,0.8960299466995101
call_type_grouped_Turnover: 5 Second Violation,-0.11819875046747699,0.8885194414100763
call_type_grouped_Foul: Clear Path,-0.13454207445689992,0.8741161001426739
sequence_context_grouped_foul_turnover_turnover,-0.13749578359208792,0.8715380247492339
sequence_context_grouped_violation_turnover,-0.14884421754088087,0.8617033427092761
call_type_grouped_Foul: Double Technical,-0.15182369294764284,0.8591397397841667
