game_id,event_num,season,season_type,period,game_clock,description,original_ruling,final_ruling,overturned,crew_chief_id,challenging_team,event_msg_type,challenge_action_number,challenge_action_clock,challenge_action_person_id,resolution_method,challenged_action_number,challenged_period,challenged_clock,challenged_action_type,challenged_action_subtype,challenged_description,challenge_raw_type,taxonomy_category,taxonomy_label,mapping_note
0022000763,337,2020-21,Regular Season,3,PT11M27.00S,Instant Replay3rd Period (8:21 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,337,PT11M27.00S,333,previous_play,330,3,PT11M38.00S,Foul,Personal Take,Bertans Personal Take Foul (P2.T1) (D.Richardson),Foul: Personal Take,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000763,392,2020-21,Regular Season,3,PT07M53.00S,Instant Replay3rd Period (8:30 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,392,PT07M53.00S,390,previous_play,388,3,PT08M07.00S,Made Shot,Jump Shot,Trent Jr. 27' 3PT Jump Shot (9 PTS) (Bembry 1 AST),Unknown,unknown_or_unmapped,Unknown or unmapped,Shot/free-throw linked challenge lacks enough text to infer the challenged ruling.
0022000768,615,2020-21,Regular Season,4,PT02M17.00S,Instant Replay4th Period (10:17 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,615,PT02M17.00S,616,person_id_action_number,616,4,PT02M17.00S,Turnover,Out of Bounds Lost Ball Turnover,Olynyk Out of Bounds Lost Ball Turnover (P5.T17),Turnover: Out of Bounds Lost Ball Turnover,possession_boundary_adjudication,Possession/boundary adjudication,Mapped from challenged action type and subtype.
0022000774,599,2020-21,Regular Season,4,PT02M08.00S,Instant Replay4th Period (12:24 AM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,599,PT02M08.00S,596,person_id_action_number,596,4,PT02M08.00S,Foul,Shooting,Green S.FOUL (P6.T4) (M.Davis),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000778,150,2020-21,Regular Season,1,PT01M50.00S,Instant Replay1st Period (8:05 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,150,PT01M50.00S,145,person_id_action_number,145,1,PT01M50.00S,Foul,Offensive Charge,Brown Offensive Charge Foul (P1.PN) (S.Corbin),Foul: Offensive Charge,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000778,402,2020-21,Regular Season,3,PT05M34.00S,Instant Replay3rd Period (9:10 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,402,PT05M34.00S,399,person_id_action_number,399,3,PT05M34.00S,Foul,Shooting,Payton S.FOUL (P3.T2) (S.Corbin),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000790,626,2020-21,Regular Season,4,PT06M41.00S,Instant Replay4th Period (9:07 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,626,PT06M41.00S,623,person_id_action_number,623,4,PT06M41.00S,Foul,Shooting,Lamb S.FOUL (P2.T2) (M.Dagher),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000792,453,2020-21,Regular Season,3,PT04M49.00S,Instant Replay3rd Period (9:13 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,453,PT04M49.00S,449,person_id_action_number,449,3,PT04M49.00S,Foul,Shooting,Walker S.FOUL (P2.PN) (S.Corbin),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000793,527,2020-21,Regular Season,4,PT09M03.00S,Instant Replay4th Period (9:28 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,527,PT09M03.00S,520,person_id_action_number,520,4,PT09M06.00S,Foul,Personal,Burks P.FOUL (P2.T2) (J.Capers),Foul: Personal,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000795,307,2020-21,Regular Season,2,PT01M32.00S,Instant Replay2nd Period (9:03 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,203592.0,,,307,PT01M32.00S,305,previous_same_clock,312,2,PT01M32.00S,Rebound,Unknown,76ers Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022000805,504,2020-21,Regular Season,4,PT06M27.00S,Instant Replay4th Period (2:59 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,504,PT06M27.00S,502,previous_same_clock,501,4,PT06M27.00S,Rebound,Unknown,Hawks Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022000809,326,2020-21,Regular Season,2,PT00M45.50S,Instant Replay2nd Period (9:09 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,326,PT00M45.50S,327,previous_play,323,2,PT00M47.80S,Rebound,Unknown,Payton REBOUND (Off:0 Def:1),Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022000809,465,2020-21,Regular Season,3,PT01M43.00S,Instant Replay3rd Period (10:02 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,465,PT01M43.00S,462,previous_same_clock,489,3,PT01M43.00S,Rebound,Unknown,KNICKS Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022000811,409,2020-21,Regular Season,3,PT05M38.00S,Instant Replay3rd Period (9:27 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,409,PT05M38.00S,406,person_id_action_number,406,3,PT05M38.00S,Foul,Shooting,Sabonis S.FOUL (P4.T3) (N.Green),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000812,612,2020-21,Regular Season,4,PT03M24.00S,Instant Replay4th Period (10:14 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,612,PT03M24.00S,607,previous_same_clock,616,4,PT03M24.00S,Turnover,Out of Bounds - Bad Pass Turnover,Theis Out of Bounds - Bad Pass Turnover Turnover (P1.T14),Turnover: Out of Bounds - Bad Pass Turnover,possession_boundary_adjudication,Possession/boundary adjudication,Mapped from challenged action type and subtype.
0022000830,624,2020-21,Regular Season,4,PT01M04.00S,Instant Replay4th Period (9:27 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,624,PT01M04.00S,621,person_id_action_number,621,4,PT01M04.00S,Foul,Personal,Johnson P.FOUL (P3.PN) (D.Guthrie),Foul: Personal,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000847,693,2020-21,Regular Season,5,PT03M43.00S,Instant Replay1st OT (9:33 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,693,PT03M43.00S,691,person_id_action_number,691,5,PT03M43.00S,Foul,Offensive,Williamson OFF.Foul (P5) (M.Lindsay),Foul: Offensive,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000858,593,2020-21,Regular Season,4,PT03M30.00S,Instant Replay4th Period (10:52 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,593,PT03M30.00S,590,previous_play,589,4,PT03M40.00S,Free Throw,Free Throw 2 of 2,Walker Free Throw 2 of 2 (22 PTS),Unknown,unknown_or_unmapped,Unknown or unmapped,Shot/free-throw linked challenge lacks enough text to infer the challenged ruling.
0022000862,719,2020-21,Regular Season,5,PT00M30.30S,Instant Replay1st OT (3:52 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,719,PT00M30.30S,716,person_id_action_number,716,5,PT00M30.30S,Foul,Shooting,Ntilikina S.FOUL (P3.PN) (C.Blair),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000864,357,2020-21,Regular Season,3,PT10M00.00S,Instant Replay3rd Period (8:29 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,357,PT10M00.00S,354,previous_same_clock,416,3,PT10M00.00S,Rebound,Unknown,MAGIC Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022000865,642,2020-21,Regular Season,4,PT00M33.40S,Instant Replay4th Period (9:21 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,642,PT00M33.40S,639,person_id_action_number,639,4,PT00M33.40S,Foul,Shooting,Boucher S.FOUL (P4.PN) (J.Sterling),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
